date,event,home,away,predictedWinner,actualWinner,winner_correct,predictedSpread,casinoSpread,casinoFavoredTeamName,predictedTotal,casinoTotal,kalshi_pick_close,kalshi_opp_close,kalshi_pick_result
2026-05-29,KXMLBGAME-26MAY292215PHILAD,Los Angeles Dodgers,Philadelphia Phillies,Los Angeles Dodgers,Los Angeles Dodgers,1,4,1.5,Philadelphia Phillies,8,8,0.515,0.485,yes
2026-05-29,KXMLBGAME-26MAY292140NYYATH,Oakland Athletics,New York Yankees,New York Yankees,New York Yankees,1,-3,1.5,New York Yankees,7,9.5,0.575,0.435,yes
2026-05-29,KXMLBGAME-26MAY292040SFCOL,Colorado Rockies,San Francisco Giants,Colorado Rockies,Colorado Rockies,1,1,1.5,San Francisco Giants,11,10.5,0.425,0.575,yes
2026-05-29,KXMLBGAME-26MAY292010MILHOU,Houston Astros,Milwaukee Brewers,Milwaukee Brewers,Milwaukee Brewers,1,-1,1.5,Milwaukee Brewers,3,8.5,0.565,0.445,yes
2026-05-29,KXMLBGAME-26MAY292005KCTEX,Texas Rangers,Kansas City Royals,Texas Rangers,Texas Rangers,1,3,-1.5,Texas Rangers,7,7.5,0.535,0.46499999999999997,yes
2026-05-29,KXMLBGAME-26MAY291940DETCWS,Chicago White Sox,Detroit Tigers,Chicago White Sox,Chicago White Sox,1,3,1.5,Detroit Tigers,7,8.5,0.505,0.495,yes
2026-05-29,KXMLBGAME-26MAY291905TORBAL,Baltimore Orioles,Toronto Blue Jays,Toronto Blue Jays,Toronto Blue Jays,1,-3,1.5,Toronto Blue Jays,7,9.5,0.46499999999999997,0.535,yes
2026-05-29,KXMLBGAME-26MAY291915CHCSTL,St. Louis Cardinals,Chicago Cubs,St. Louis Cardinals,St. Louis Cardinals,1,1,1.5,Chicago Cubs,9,7.5,0.455,0.545,yes
2026-05-29,KXMLBGAME-26MAY291910MIANYM,New York Mets,Miami Marlins,New York Mets,New York Mets,1,1,1.5,Miami Marlins,3,7.5,0.515,0.485,yes
2026-05-29,KXMLBGAME-26MAY291910BOSCLE,Cleveland Guardians,Boston Red Sox,Boston Red Sox,Cleveland Guardians,0,-1,1.5,Boston Red Sox,7,8,0.46499999999999997,0.545,no
2026-05-29,KXMLBGAME-26MAY291910LAATB,Tampa Bay Rays,Los Angeles Angels,Tampa Bay Rays,Tampa Bay Rays,1,3,-1.5,Tampa Bay Rays,7,8,0.595,0.405,yes
2026-05-29,KXMLBGAME-26MAY291845SDWSH,Washington Nationals,San Diego Padres,San Diego Padres,San Diego Padres,1,-1,1.5,San Diego Padres,7,9.5,0.485,0.525,yes
2026-05-29,KXMLBGAME-26MAY291840ATLCIN,Cincinnati Reds,Atlanta Braves,Atlanta Braves,Atlanta Braves,1,-3,1.5,Atlanta Braves,11,9.5,0.565,0.445,yes
2026-05-29,KXMLBGAME-26MAY291845MINPIT,Pittsburgh Pirates,Minnesota Twins,Pittsburgh Pirates,Pittsburgh Pirates,1,1,-1.5,Pittsburgh Pirates,9,8,0.545,0.455,yes
2026-05-28,KXMLBGAME-26MAY282005HOUTEX,Texas Rangers,Houston Astros,Texas Rangers,Houston Astros,0,1,-1.5,Texas Rangers,3,7,0.565,0.435,no
2026-05-28,KXMLBGAME-26MAY281835TORBAL,Baltimore Orioles,Toronto Blue Jays,Toronto Blue Jays,Toronto Blue Jays,1,-2,-1.5,Baltimore Orioles,12,8.5,0.46499999999999997,0.535,yes
2026-05-28,KXMLBGAME-26MAY281840CHCPIT,Pittsburgh Pirates,Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,0,1,-1.5,Pittsburgh Pirates,9,7.5,0.615,0.395,no
2026-05-28,KXMLBGAME-26MAY281610ATLBOS,Boston Red Sox,Atlanta Braves,Atlanta Braves,Atlanta Braves,1,-1,1.5,Atlanta Braves,3,6.5,0.555,0.455,yes
2026-05-28,KXMLBGAME-26MAY281410MINCWS,Chicago White Sox,Minnesota Twins,Chicago White Sox,Chicago White Sox,1,1,-1.5,Chicago White Sox,3,8,0.605,0.405,yes
2026-05-28,KXMLBGAME-26MAY281310LAADET,Detroit Tigers,Los Angeles Angels,Detroit Tigers,Los Angeles Angels,0,1,-1.5,Detroit Tigers,9,8.5,0.555,0.445,no
2026-05-27,KXMLBGAME-26MAY272210COLLAD,Los Angeles Dodgers,Colorado Rockies,Los Angeles Dodgers,Los Angeles Dodgers,1,4,-1.5,Los Angeles Dodgers,6,8,0.795,0.20500000000000002,yes
2026-05-27,KXMLBGAME-26MAY272005HOUTEX,Texas Rangers,Houston Astros,Texas Rangers,Houston Astros,0,4,-1.5,Texas Rangers,6,7,0.565,0.435,no
2026-05-27,KXMLBGAME-26MAY271940NYYKC,Kansas City Royals,New York Yankees,New York Yankees,New York Yankees,1,-4,1.5,New York Yankees,8,8.5,0.595,0.405,yes
